答题序号,来源,Q1,Q2,Q3|5|open,Q3|6|open,Q3|7|open,Q4,Q5,Q6|1,Q7|1,Q7|2,Q7|3,Q7|4,Q7|6,Q7|6|open,Q8|1,Q8|2,Q8|3,Q8|5,Q8|5|open,Q9|1,Q9|2,Q9|3,Q9|5,Q9|5|open,Q10,Q11|1,Q12|1,Q13|1,Q14|1,Q14|2,Q14|3,Q14|4,Q14|5,Q14|6,Q14|6|open,Q15|1,Q15|2,Q15|3,Q15|4,Q15|5,Q15|6,Q15|9,Q15|9|open,Q16|1,Q16|2,Q16|3,Q16|4,Q16|5,Q16|6,Q16|8,Q16|8|open,Q17|1,Q18|1,Q18|2,Q18|3,Q18|4,Q18|5,Q18|6,Q18|8,Q18|8|open,Q19|1,Q20|1,Q21,Q21|open,Q22|1,Q22|2,Q22|3,Q22|4,Q22|5,Q22|6,Q22|8,Q22|8|open,Q23|1,Q23|2,Q23|3,Q23|4,Q23|6,Q23|6|open,Q24|1,Q24|2,Q24|3,Q24|4,Q24|6,Q24|6|open,Q25|1,Q26|1,Q27,Q28,Q28|open,Q29|1,Q30|1,Q31|1,Q31|2,Q31|3,Q31|4,Q31|6,Q31|6|open,Q32|1,Q32|2,Q32|3,Q32|4,Q32|5,Q32|7,Q32|7|open,Q33|1,Q33|2,Q33|3,Q33|4,Q33|5,Q33|5|open,Q34|1,Q34|2,Q34|3,Q34|4,Q34|5,Q34|6,Q34|8,Q34|8|open,Q35|1,Q35|2,Q35|3,Q35|4,Q35|5,Q35|5|open,Q36|1,Q37|1,Q37|2,Q37|3,Q37|4,Q37|5,Q37|6,Q37|8,Q37|8|open,Q38|1,Q38|2,Q38|3,Q38|4,Q38|5,Q39,Q39|open,Q40|1,Q41|1,Q42,Q43|1,Q43|2,Q43|3,Q44|1,Q44|2,Q44|3,Q44|4,Q44|6,Q44|6|open,Q45,Q46|1,Q47|1,Q47|2,Q47|3,Q47|4,Q47|5,Q47|5|open,Q48|1,Q48|2,Q48|3,Q48|4,Q48|5,Q48|7,Q48|7|open,Q49,Q50|1,Q50|2,Q50|3,Q50|4,Q50|5,Q50|5|open,Q51|1,Q52|1,Q52|2,Q52|3,Q52|4,Q52|5,Q52|6,Q52|8,Q52|8|open,Q53|1,Q53|2,Q53|3,Q53|4,Q53|5,Q54|1,Q54|2,Q54|3,Q54|4,Q54|5,Q55|1,Q56|1,Q57|1,Q57|2,Q57|3,Q57|4,Q57|6,Q57|6|open,Q58|1,Q59|1,Q60,Q60|open,Q61|1,Q62|1,Q63|1,Q64,Q65|1,Q65|2,Q65|3,Q66|1,Q66|2,Q66|3,Q66|4,Q66|6,Q66|6|open,Q67,Q68|1,Q69|1,Q69|2,Q69|3,Q69|4,Q69|5,Q69|5|open,Q70|1,Q71|1,Q72,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
8,,2,4,福建省,福州市,仓山区,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,教育,3.0,2.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,5.0,5.0,5.0,5.0,2.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-06 19:36:12,2023-04-06 19:41:47,5分35秒,福建省,福州市,112.49.210.183,Chrome 107.0.5304.141,Android Linux 12
9,,1,6,福建省,福州市,仓山区,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,教育,5.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,5.0,5.0,5.0,5.0,2.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-08 11:29:47,2023-04-08 11:37:19,7分32秒,福建省,福州市,117.27.75.15,Chrome 107.0.5304.141,Android Linux 10
26,,2,5,福建省,龙岩市,连城县,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,教育,3.0,3.0,0.0,0.0,0.0,0.0,1.0,没有措施,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,4.0,4.0,3.0,4.0,5.0,2.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13 16:12:11,2023-04-13 16:19:19,7分8秒,福建省,龙岩市,218.207.159.142,Chrome 107.0.5304.141,Android Linux 10
30,,3,6,海外,欧洲,俄罗斯,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,5.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,5.0,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13 16:26:51,2023-04-13 16:28:57,2分6秒,福建省,,223.104.51.54,Chrome 107.0.5304.141,Android Linux 12
45,,2,4,福建省,龙岩市,连城县,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,医药,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13 17:07:06,2023-04-13 17:09:20,2分14秒,福建省,龙岩市,125.79.73.62,Unknown Browser,iPhone iOS 16.1.2
48,,3,6,海外,大洋洲,斐济,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,5.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,5.0,5.0,5.0,5.0,5.0,2.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13 17:12:10,2023-04-13 17:13:46,1分36秒,江苏省,南京市,223.104.150.3,Chrome 107.0.5304.141,Android Linux 13
121,,1,5,福建省,南平市,光泽县,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,房,3.0,4.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,3.0,2.0,3.0,2.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-14 18:27:35,2023-04-14 18:35:45,8分10秒,福建省,南平市,112.50.90.66,Unknown Browser,iPhone iOS 16.1.2
136,,2,5,河南省,济源市,济源市,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,幼儿教师,4.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,3.0,4.0,4.0,3.0,3.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-04 18:35:04,2023-06-04 18:41:39,6分35秒,河南省,济源市,221.14.12.95,Chrome 86.0.4240.99,Android Linux 8.1.0
140,,1,3,河南省,济源市,济源市,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,2.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,5.0,5.0,5.0,5.0,3.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-04 18:46:29,2023-06-04 18:50:22,3分53秒,河南省,郑州市,171.11.254.98,Chrome 107.0.5304.141,Android Linux 12
144,,2,4,福建省,福州市,马尾区,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,服务业,3.0,2.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,4.0,5.0,4.0,4.0,4.0,2.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-04 18:55:17,2023-06-04 19:01:53,6分36秒,福建省,福州市,27.155.195.33,Unknown Browser,iPhone iOS 16.4.1
145,,3,2,新疆维吾尔自治区,喀什地区,塔什库尔干塔吉克自治县,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,5.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,5.0,5.0,1.0,3.0,5.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-04 19:02:29,2023-06-04 19:04:34,2分5秒,福建省,福州市,218.104.226.49,Chrome 98.0.4758.102,Android Linux 13
153,,2,5,河南省,济源市,济源市,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,5.0,5.0,5.0,5.0,3.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-04 19:50:54,2023-06-04 19:55:34,4分40秒,河南省,济源市,221.14.13.245,Chrome 107.0.5304.141,Android Linux 9
159,,2,5,福建省,莆田市,城厢区,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,金融,3.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,3.0,3.0,2.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-04 20:36:43,2023-06-04 20:42:06,5分23秒,福建省,莆田市,110.82.136.86,Unknown Browser,iPhone iOS 16.3.1
165,,1,2,江西省,赣州市,安远县,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,自媒体,3.0,3.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,5.0,5.0,5.0,5.0,3.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-04 21:22:17,2023-06-04 21:26:51,4分34秒,江西省,赣州市,117.136.124.150,Chrome 107.0.5304.141,Android Linux 12
175,,1,3,广东省,深圳市,宝安区,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,3.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,3.0,2.0,4.0,4.0,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-04 22:11:27,2023-06-04 22:12:49,1分22秒,福建省,福州市,27.149.51.14,Chrome 98.0.4758.102,Android Linux 12
206,,1,5,福建省,莆田市,城厢区,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,政府机关,5.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,5.0,4.0,4.0,4.0,4.0,1.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-05 12:26:19,2023-06-05 12:29:29,3分10秒,福建省,莆田市,27.153.181.183,Chrome 107.0.5304.141,Android Linux 13
207,,2,5,福建省,莆田市,城厢区,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,行政单位,5.0,4.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,5.0,5.0,5.0,5.0,1.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-05 12:21:15,2023-06-05 12:33:04,11分49秒,,,39.144.248.229,Unknown Browser,iPhone iOS 16.5
222,,2,5,安徽省,铜陵市,铜官区,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,零售业,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,5.0,5.0,5.0,5.0,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 04:55:17,2023-06-06 05:00:02,4分45秒,安徽省,铜陵市,36.7.208.148,Unknown Browser,iPhone iOS 16.0
224,,1,4,安徽省,合肥市,包河区,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,2.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,5.0,5.0,5.0,5.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 09:48:54,2023-06-06 09:51:56,3分2秒,安徽省,合肥市,112.32.54.195,Chrome 107.0.5304.141,Android Linux 13
225,,2,4,安徽省,铜陵市,义安区,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,3.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,4.0,4.0,4.0,4.0,4.0,2.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 10:09:45,2023-06-06 10:15:15,5分30秒,安徽省,合肥市,117.136.101.176,Unknown Browser,iPhone iOS 15.2
228,,2,4,安徽省,铜陵市,铜官区,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,2.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 11:57:37,2023-06-06 12:02:16,4分39秒,安徽省,合肥市,223.104.35.210,Chrome 107.0.5304.141,Android Linux 10
230,,2,4,安徽省,铜陵市,铜官区,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,1.0,2.0,4.0,3.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 10:35:01,2023-06-06 17:30:23,415分22秒,安徽省,合肥市,117.136.103.187,Chrome 107.0.5304.141,Android Linux 12
